CustomerID,CustomerName,Location,JoinDate,LoyaltyPoints,Year,Month
CUST00001,Customer_1,Kolkata,2021-12-06,1656,2021,December
CUST00002,Customer_2,Ahmedabad,2020-06-24,4887,2020,June
CUST00003,Customer_3,Ahmedabad,2022-05-18,3330,2022,May
CUST00004,Customer_4,Bangalore,2022-06-19,603,2022,June
CUST00005,Customer_5,Kolkata,2022-01-20,2495,2022,January
CUST00006,Customer_6,Hyderabad,2020-11-23,4472,2020,November
CUST00007,Customer_7,Kolkata,2022-09-30,4734,2022,September
CUST00008,Customer_8,Hyderabad,2021-08-24,1615,2021,August
CUST00009,Customer_9,Bangalore,2020-01-07,1958,2020,January
CUST00010,Customer_10,Delhi,2021-01-04,4116,2021,January
CUST00011,Customer_11,Chennai,2020-03-30,4177,2020,March
CUST00012,Customer_12,Bangalore,2020-10-17,1479,2020,October
CUST00013,Customer_13,Delhi,2022-03-24,2123,2022,March
CUST00014,Customer_14,Hyderabad,2021-01-22,1693,2021,January
CUST00015,Customer_15,Kolkata,2020-08-21,2567,2020,August
CUST00016,Customer_16,Mumbai,2023-05-25,1177,2023,May
CUST00017,Customer_17,Kolkata,2022-09-01,3312,2022,September
CUST00018,Customer_18,Delhi,2022-09-23,2728,2022,September
CUST00019,Customer_19,Ahmedabad,2021-08-22,582,2021,August
CUST00020,Customer_20,Hyderabad,2023-08-10,881,2023,August
CUST00021,Customer_21,Kolkata,2024-01-23,741,2024,January
CUST00022,Customer_22,Hyderabad,2023-08-11,1041,2023,August
CUST00023,Customer_23,Ahmedabad,2021-05-10,2956,2021,May
CUST00024,Customer_24,Chennai,2023-10-17,1504,2023,October
CUST00025,Customer_25,Hyderabad,2022-01-02,2527,2022,January
CUST00026,Customer_26,Hyderabad,2021-03-11,1131,2021,March
CUST00027,Customer_27,Bangalore,2021-05-24,279,2021,May
CUST00028,Customer_28,Chennai,2020-12-09,2830,2020,December
CUST00029,Customer_29,Pune,2022-06-30,1376,2022,June
CUST00030,Customer_30,Delhi,2023-02-24,1451,2023,February
CUST00031,Customer_31,Kolkata,2022-05-13,1332,2022,May
CUST00032,Customer_32,Chennai,2023-10-04,455,2023,October
CUST00033,Customer_33,Delhi,2021-11-17,913,2021,November
CUST00034,Customer_34,Mumbai,2023-05-01,1056,2023,May
CUST00035,Customer_35,Bangalore,2021-01-06,4113,2021,January
CUST00036,Customer_36,Chennai,2022-11-18,1400,2022,November
CUST00037,Customer_37,Ahmedabad,2022-02-15,2380,2022,February
CUST00038,Customer_38,Ahmedabad,2023-07-02,2456,2023,July
CUST00039,Customer_39,Delhi,2023-05-26,1876,2023,May
CUST00040,Customer_40,Bangalore,2023-08-06,1823,2023,August
CUST00041,Customer_41,Bangalore,2021-08-29,3475,2021,August
CUST00042,Customer_42,Delhi,2021-03-03,2888,2021,March
CUST00043,Customer_43,Delhi,2020-09-04,1426,2020,September
CUST00044,Customer_44,Ahmedabad,2020-01-29,1335,2020,January
CUST00045,Customer_45,Ahmedabad,2023-12-28,2376,2023,December
CUST00046,Customer_46,Mumbai,2020-01-24,1123,2020,January
CUST00047,Customer_47,Bangalore,2020-11-15,4750,2020,November
CUST00048,Customer_48,Kolkata,2021-09-19,538,2021,September
CUST00049,Customer_49,Delhi,2023-04-17,2814,2023,April
CUST00050,Customer_50,Chennai,2021-04-15,2167,2021,April
CUST00051,Customer_51,Kolkata,2022-12-16,2923,2022,December
CUST00052,Customer_52,Kolkata,2021-08-28,225,2021,August
CUST00053,Customer_53,Hyderabad,2020-02-25,379,2020,February
CUST00054,Customer_54,Pune,2020-04-24,4210,2020,April
CUST00055,Customer_55,Delhi,2023-02-18,4788,2023,February
CUST00056,Customer_56,Kolkata,2022-11-18,3616,2022,November
CUST00057,Customer_57,Hyderabad,2020-06-02,2396,2020,June
CUST00058,Customer_58,Mumbai,2023-06-07,1179,2023,June
CUST00059,Customer_59,Hyderabad,2023-05-21,4926,2023,May
CUST00060,Customer_60,Hyderabad,2021-05-06,3870,2021,May
CUST00061,Customer_61,Ahmedabad,2022-09-11,2892,2022,September
CUST00062,Customer_62,Bangalore,2023-09-07,2518,2023,September
CUST00063,Customer_63,Mumbai,2023-12-18,2415,2023,December
CUST00064,Customer_64,Mumbai,2021-02-23,428,2021,February
CUST00065,Customer_65,Hyderabad,2020-12-17,4403,2020,December
CUST00066,Customer_66,Chennai,2020-08-07,3308,2020,August
CUST00067,Customer_67,Bangalore,2021-05-06,2792,2021,May
CUST00068,Customer_68,Pune,2021-12-30,982,2021,December
CUST00069,Customer_69,Delhi,2021-12-25,1816,2021,December
CUST00070,Customer_70,Bangalore,2022-06-23,3276,2022,June
CUST00071,Customer_71,Mumbai,2023-01-18,2295,2023,January
CUST00072,Customer_72,Kolkata,2020-03-21,2251,2020,March
CUST00073,Customer_73,Hyderabad,2021-08-10,3348,2021,August
CUST00074,Customer_74,Bangalore,2023-03-29,4495,2023,March
CUST00075,Customer_75,Chennai,2024-01-13,4978,2024,January
CUST00076,Customer_76,Bangalore,2023-07-22,1626,2023,July
CUST00077,Customer_77,Chennai,2022-11-24,2654,2022,November
CUST00078,Customer_78,Ahmedabad,2022-05-02,1071,2022,May
CUST00079,Customer_79,Delhi,2022-06-18,3774,2022,June
CUST00080,Customer_80,Ahmedabad,2023-11-21,2395,2023,November
CUST00081,Customer_81,Mumbai,2020-04-02,78,2020,April
CUST00082,Customer_82,Hyderabad,2020-06-16,106,2020,June
CUST00083,Customer_83,Kolkata,2020-03-20,3351,2020,March
CUST00084,Customer_84,Delhi,2022-07-18,1245,2022,July
CUST00085,Customer_85,Kolkata,2021-05-01,290,2021,May
CUST00086,Customer_86,Pune,2023-03-11,2838,2023,March
CUST00087,Customer_87,Kolkata,2021-10-12,20,2021,October
CUST00088,Customer_88,Ahmedabad,2023-11-14,4447,2023,November
CUST00089,Customer_89,Mumbai,2022-08-26,3637,2022,August
CUST00090,Customer_90,Mumbai,2022-07-14,4578,2022,July
CUST00091,Customer_91,Mumbai,2022-12-22,4926,2022,December
CUST00092,Customer_92,Pune,2022-03-23,3655,2022,March
CUST00093,Customer_93,Bangalore,2020-08-15,3899,2020,August
CUST00094,Customer_94,Bangalore,2023-12-16,4211,2023,December
CUST00095,Customer_95,Ahmedabad,2022-04-20,3311,2022,April
CUST00096,Customer_96,Kolkata,2021-10-20,136,2021,October
CUST00097,Customer_97,Kolkata,2023-03-05,3466,2023,March
CUST00098,Customer_98,Kolkata,2021-12-03,1580,2021,December
CUST00099,Customer_99,Kolkata,2022-01-06,3035,2022,January
CUST00100,Customer_100,Delhi,2023-04-21,235,2023,April
CUST00101,Customer_101,Delhi,2020-02-17,363,2020,February
CUST00102,Customer_102,Hyderabad,2020-12-04,483,2020,December
CUST00103,Customer_103,Delhi,2022-03-15,1761,2022,March
CUST00104,Customer_104,Chennai,2023-06-08,202,2023,June
CUST00105,Customer_105,Kolkata,2022-10-18,1979,2022,October
CUST00106,Customer_106,Bangalore,2024-01-28,1664,2024,January
CUST00107,Customer_107,Delhi,2023-08-24,2153,2023,August
CUST00108,Customer_108,Hyderabad,2021-02-10,3789,2021,February
CUST00109,Customer_109,Bangalore,2021-08-01,2177,2021,August
CUST00110,Customer_110,Bangalore,2020-12-30,1251,2020,December
CUST00111,Customer_111,Pune,2020-03-31,3975,2020,March
CUST00112,Customer_112,Mumbai,2020-12-28,2924,2020,December
CUST00113,Customer_113,Pune,2021-01-06,2368,2021,January
CUST00114,Customer_114,Delhi,2022-01-06,4980,2022,January
CUST00115,Customer_115,Kolkata,2023-12-01,1064,2023,December
CUST00116,Customer_116,Kolkata,2021-03-07,1404,2021,March
CUST00117,Customer_117,Kolkata,2021-05-15,1349,2021,May
CUST00118,Customer_118,Mumbai,2020-01-27,1429,2020,January
CUST00119,Customer_119,Ahmedabad,2021-05-30,3861,2021,May
CUST00120,Customer_120,Ahmedabad,2022-01-30,2780,2022,January
CUST00121,Customer_121,Delhi,2022-01-27,4441,2022,January
CUST00122,Customer_122,Hyderabad,2021-02-23,3584,2021,February
CUST00123,Customer_123,Mumbai,2022-01-22,3322,2022,January
CUST00124,Customer_124,Ahmedabad,2021-04-12,3705,2021,April
CUST00125,Customer_125,Chennai,2021-03-18,4436,2021,March
CUST00126,Customer_126,Kolkata,2022-06-19,1826,2022,June
CUST00127,Customer_127,Hyderabad,2022-10-28,322,2022,October
CUST00128,Customer_128,Pune,2024-01-05,2998,2024,January
CUST00129,Customer_129,Mumbai,2023-11-22,532,2023,November
CUST00130,Customer_130,Bangalore,2024-01-24,452,2024,January
CUST00131,Customer_131,Ahmedabad,2022-09-15,1724,2022,September
CUST00132,Customer_132,Chennai,2022-03-21,3130,2022,March
CUST00133,Customer_133,Ahmedabad,2021-04-29,3648,2021,April
CUST00134,Customer_134,Ahmedabad,2023-08-11,3316,2023,August
CUST00135,Customer_135,Hyderabad,2023-11-02,4316,2023,November
CUST00136,Customer_136,Chennai,2022-02-26,2298,2022,February
CUST00137,Customer_137,Kolkata,2023-11-20,4512,2023,November
CUST00138,Customer_138,Pune,2022-01-09,4453,2022,January
CUST00139,Customer_139,Hyderabad,2023-10-30,4016,2023,October
CUST00140,Customer_140,Hyderabad,2022-04-29,2351,2022,April
CUST00141,Customer_141,Delhi,2023-11-13,2788,2023,November
CUST00142,Customer_142,Ahmedabad,2022-07-18,3906,2022,July
CUST00143,Customer_143,Mumbai,2020-05-19,1946,2020,May
CUST00144,Customer_144,Mumbai,2020-03-23,3388,2020,March
CUST00145,Customer_145,Mumbai,2020-09-26,953,2020,September
CUST00146,Customer_146,Pune,2022-05-19,4656,2022,May
CUST00147,Customer_147,Bangalore,2021-07-23,4704,2021,July
CUST00148,Customer_148,Mumbai,2022-06-24,3578,2022,June
CUST00149,Customer_149,Mumbai,2023-05-29,4758,2023,May
CUST00150,Customer_150,Delhi,2021-08-16,3855,2021,August
CUST00151,Customer_151,Delhi,2020-04-05,1306,2020,April
CUST00152,Customer_152,Delhi,2020-12-17,4062,2020,December
CUST00153,Customer_153,Hyderabad,2023-11-19,1964,2023,November
CUST00154,Customer_154,Pune,2020-05-02,491,2020,May
CUST00155,Customer_155,Bangalore,2023-06-21,3400,2023,June
CUST00156,Customer_156,Bangalore,2023-04-21,116,2023,April
CUST00157,Customer_157,Chennai,2023-04-07,1458,2023,April
CUST00158,Customer_158,Pune,2020-04-25,535,2020,April
CUST00159,Customer_159,Mumbai,2020-10-13,282,2020,October
CUST00160,Customer_160,Kolkata,2022-06-26,1066,2022,June
CUST00161,Customer_161,Pune,2021-08-02,3415,2021,August
CUST00162,Customer_162,Pune,2022-08-05,3110,2022,August
CUST00163,Customer_163,Bangalore,2023-07-03,3151,2023,July
CUST00164,Customer_164,Hyderabad,2020-04-01,2886,2020,April
CUST00165,Customer_165,Mumbai,2020-12-11,145,2020,December
CUST00166,Customer_166,Bangalore,2023-03-10,4361,2023,March
CUST00167,Customer_167,Kolkata,2021-06-09,2779,2021,June
CUST00168,Customer_168,Delhi,2023-06-02,4791,2023,June
CUST00169,Customer_169,Pune,2024-01-21,3862,2024,January
CUST00170,Customer_170,Kolkata,2023-03-20,610,2023,March
CUST00171,Customer_171,Pune,2022-06-18,4027,2022,June
CUST00172,Customer_172,Delhi,2021-03-12,4569,2021,March
CUST00173,Customer_173,Chennai,2022-10-20,3314,2022,October
CUST00174,Customer_174,Ahmedabad,2020-09-29,1053,2020,September
CUST00175,Customer_175,Hyderabad,2023-10-08,4,2023,October
CUST00176,Customer_176,Chennai,2023-02-27,3349,2023,February
CUST00177,Customer_177,Kolkata,2023-09-16,4093,2023,September
CUST00178,Customer_178,Hyderabad,2021-12-23,3099,2021,December
CUST00179,Customer_179,Pune,2023-01-26,3530,2023,January
CUST00180,Customer_180,Delhi,2023-07-24,368,2023,July
CUST00181,Customer_181,Bangalore,2020-08-28,2274,2020,August
CUST00182,Customer_182,Mumbai,2020-02-27,1988,2020,February
CUST00183,Customer_183,Delhi,2022-02-27,2407,2022,February
CUST00184,Customer_184,Bangalore,2021-09-17,3696,2021,September
CUST00185,Customer_185,Pune,2021-06-15,3880,2021,June
CUST00186,Customer_186,Bangalore,2020-06-30,431,2020,June
CUST00187,Customer_187,Bangalore,2021-05-10,4423,2021,May
CUST00188,Customer_188,Bangalore,2020-02-22,1207,2020,February
CUST00189,Customer_189,Delhi,2023-06-04,133,2023,June
CUST00190,Customer_190,Mumbai,2022-05-05,2391,2022,May
CUST00191,Customer_191,Pune,2020-12-26,2054,2020,December
CUST00192,Customer_192,Pune,2022-11-06,2408,2022,November
CUST00193,Customer_193,Chennai,2022-02-18,854,2022,February
CUST00194,Customer_194,Delhi,2021-01-02,4265,2021,January
